日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,D352,上海虹桥,AOH,成都东,ICW,06:49,20:34,13:45,--,10540,06590,--,--,--,--,--,06590
2024-08-15,D636,上海虹桥,AOH,成都东,ICW,07:11,20:40,13:29,--,10490,06550,--,--,--,--,--,06550
2024-08-15,G1974,上海虹桥,AOH,重庆西,CXW,07:44,18:28,10:44,28535,14765,09090,--,--,--,--,--,--
2024-08-15,D3056,上海,SHH,成都东,ICW,07:57,22:04,14:07,--,10600,06630,--,--,--,--,--,06630
2024-08-15,D3056,上海,SHH,成都东,ICW,08:06,22:04,13:58,--,10540,06590,--,--,--,--,--,06590
2024-08-15,K290,昆山,KSH,成都西,CMW,10:13,19:13,33:00,--,--,--,--,07045,04465,--,02635,02635
2024-08-15,G1476,上海虹桥,AOH,成都东,ICW,10:20,22:17,11:57,37160,18565,11455,--,--,--,--,--,--
2024-08-15,K1156,上海,SHH,成都西,CMW,12:13,17:53,29:40,--,--,--,--,07020,04480,--,02590,02590
2024-08-15,K282,上海,SHH,成都西,CMW,21:43,08:44,35:01,--,--,--,--,07185,04555,--,02685,02685
